2019/01/15 13:06:24.953 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:14:16.541 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:22:22.412 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:22:22.412 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:31:06.915 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:31:06.916 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:32:06.585 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:32:06.585 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:32:37.363 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:32:37.364 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:33:15.695 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:33:15.696 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:33:24.188 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:33:24.189 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:48:59.237 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:48:59.237 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/16 08:29:17.869 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/16 08:29:17.874 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/16 08:59:57.815 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/16 08:59:57.815 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/16 09:00:13.323 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/16 09:00:13.323 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/16 09:01:00.222 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/16 09:01:00.223 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
